CustomerID,CustomerName,Email,Phone_Clean,City_Clean,Segment
1,Aryan Nair,aryan.nair.00@yahoo.com,9471417149,Mumbai,Consumer
2,Vihaan Mehta,vihaan.mehta.11@hotmail.com,9658905004,Bangalore,Consumer
3,Aryan Nair,aryan.nair.22@gmail.com,9690077408,Hyderabad,Home Office
4,Krishna Sharma,krishna.sharma.33@yahoo.com,9448177667,Chennai,Home Office
5,Harsh Nair,harsh.nair.44@yahoo.com,9326833038,Chennai,Consumer
6,Reyansh Bansal,reyansh.bansal.55@yahoo.com,9133846584,Chennai,Consumer
7,Rohan Tiwari,rohan.tiwari.66@outlook.com,9867426012,Mumbai,Corporate
8,Dev Iyer,dev.iyer.77@yahoo.com,9901561641,Pune,Home Office
9,Sai Nair,sai.nair.88@outlook.com,,Chennai,Consumer
10,Sai Gupta,sai.gupta.99@yahoo.com,9352355201,Delhi,Corporate
11,Ayaan Saxena,ayaan.saxena.1010@yahoo.com,,Chennai,Home Office
12,Vivaan Bansal,vivaan.bansal.1111@outlook.com,9339886382,Delhi,Corporate
13,Harsh Singh,harsh.singh.1212@outlook.com,9961835996,Mumbai,Consumer
14,Reyansh Kulkarni,reyansh.kulkarni.1313@yahoo.com,9583333284,Pune,Consumer
15,Vivaan Agarwal,vivaan.agarwal.1414@yahoo.com,9449690324,Mumbai,Corporate
16,Arjun Malhotra,arjun.malhotra.1515@gmail.com,9740304467,Hyderabad,Consumer
17,Manav Malhotra,manav.malhotra.1616@yahoo.com,9340515735,Pune,Home Office
18,Krishna Pandey,krishna.pandey.1717@hotmail.com,9442840470,Hyderabad,Home Office
19,Kunal Nair,kunal.nair.1818@hotmail.com,9326795497,Mumbai,Corporate
20,Dev Das,dev.das.1919@hotmail.com,9490437840,Hyderabad,Corporate
21,Vihaan Gupta,vihaan.gupta.2020@outlook.com,9627815459,Mumbai,Corporate
22,Aryan Chopra,aryan.chopra.2121@outlook.com,9136076363,Hyderabad,Home Office
23,Yash Khan,yash.khan.2222@gmail.com,9913463571,Pune,Consumer
24,Reyansh Agarwal,reyansh.agarwal.2323@yahoo.com,9887871680,Bangalore,Consumer
25,Vihaan Reddy,vihaan.reddy.2424@yahoo.com,9716218798,Delhi,Corporate
26,Krishna Agarwal,krishna.agarwal.2525@outlook.com,9205917037,Pune,Consumer
27,Rohan Patel,rohan.patel.2626@gmail.com,,Hyderabad,Home Office
28,Shaurya Kulkarni,shaurya.kulkarni.2727@outlook.com,9803676432,Delhi,Home Office
29,Kabir Khan,kabir.khan.2828@yahoo.com,,Pune,Corporate
30,Aarav Iyer,aarav.iyer.2929@outlook.com,9295938653,Bangalore,Home Office
31,Arjun Verma,arjun.verma.3030@hotmail.com,,Delhi,Consumer
32,Ayaan Verma,ayaan.verma.3131@outlook.com,9229801196,Mumbai,Home Office
33,Krishna Khan,krishna.khan.3232@hotmail.com,9566769955,Pune,Corporate
34,Rahul Chopra,rahul.chopra.3333@outlook.com,9714201367,Pune,Corporate
35,Aryan Gupta,aryan.gupta.3434@gmail.com,,Pune,Consumer
36,Manav Das,manav.das.3535@yahoo.com,9993246302,Delhi,Consumer
37,Manav Verma,manav.verma.3636@hotmail.com,,Bangalore,Home Office
38,Yash Nair,yash.nair.3737@yahoo.com,9343216528,Hyderabad,Consumer
39,Aditya Kulkarni,aditya.kulkarni.3838@hotmail.com,,Bangalore,Consumer
40,Krishna Agarwal,krishna.agarwal.3939@gmail.com,9933147412,Hyderabad,Corporate
41,Aryan Kulkarni,aryan.kulkarni.4040@hotmail.com,9329457856,Pune,Home Office
42,Aryan Nair,aryan.nair.4141@yahoo.com,9546712353,Bangalore,Consumer
43,Kabir Sharma,kabir.sharma.4242@hotmail.com,,Hyderabad,Corporate
44,Yash Das,yash.das.4343@hotmail.com,9556027315,Delhi,Corporate
45,Arjun Chopra,arjun.chopra.4444@gmail.com,9542652714,Mumbai,Home Office
46,Vihaan Malhotra,vihaan.malhotra.4545@hotmail.com,9432607102,Delhi,Home Office
47,Aditya Verma,aditya.verma.4646@gmail.com,9653930041,Bangalore,Consumer
48,Aditya Iyer,aditya.iyer.4747@yahoo.com,9441200266,Pune,Home Office
49,Rohan Singh,rohan.singh.4848@gmail.com,9863227797,Pune,Corporate
50,Kabir Singh,kabir.singh.4949@gmail.com,,Bangalore,Consumer
51,Arjun Pandey,arjun.pandey.5050@gmail.com,,Pune,Corporate
52,Kunal Malhotra,kunal.malhotra.5151@gmail.com,9429284978,Mumbai,Corporate
53,Rahul Singh,rahul.singh.5252@outlook.com,9599818829,Delhi,Home Office
54,Vivaan Khan,vivaan.khan.5353@outlook.com,9487674186,Delhi,Corporate
55,Rohan Agarwal,rohan.agarwal.5454@yahoo.com,9669092621,Pune,Corporate
56,Aarav Nair,aarav.nair.5555@yahoo.com,9208886267,Hyderabad,Home Office
57,Rahul Iyer,rahul.iyer.5656@outlook.com,,Delhi,Home Office
58,Ishaan Iyer,ishaan.iyer.5757@outlook.com,9796030413,Hyderabad,Consumer
